,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
91,Sergio Alvarez,2,74,26.0,1069.0,0.0,0.0,0.2,22.0,37.0,2.0,14.0,16.2,2000000,2
92,Jose Angel,2,74,28.0,3028.0,1.0,1.0,0.7,0.0,0.0,0.0,43.0,41.3,5000000,2
93,Anaitz Arbilla,2,74,31.0,1950.0,1.0,2.0,0.9,0.0,0.0,0.0,31.0,25.9,2000000,2
94,Pedro Bigas,2,74,27.0,585.0,0.0,1.0,0.2,0.0,0.0,0.0,13.0,7.1,3000000,2
95,Pablo De Blasis,2,74,30.0,1520.0,2.0,0.0,0.9,0.0,0.0,0.0,24.0,18.5,2000000,2
96,Marc Cardona,4,74,23.0,604.0,3.0,1.0,3.4,0.0,0.0,0.0,0.0,0.0,1500000,2
97,Charles,4,74,34.0,1739.0,14.0,1.0,12.2,0.0,0.0,0.0,0.0,0.0,2000000,2
98,Marc Cucurella,3,74,20.0,2354.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10000000,2
99,Marko Dmitrovic,1,74,26.0,2160.0,0.0,0.0,0.0,30.0,55.0,5.0,0.0,0.0,10000000,2
100,Sergi Enrich,4,74,28.0,2582.0,7.0,4.0,10.9,0.0,0.0,0.0,0.0,0.0,7500000,2
101,Gonzalo Escalante,3,74,25.0,1789.0,4.0,1.0,2.9,0.0,0.0,0.0,0.0,0.0,4000000,2
102,Joan Jordan,3,74,24.0,2875.0,4.0,4.0,2.6,0.0,0.0,0.0,0.0,0.0,14000000,2
103,Kike,4,74,28.0,1298.0,3.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,3000000,2
104,Pedro Leon,3,74,31.0,425.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1800000,2
105,Paulo Oliveira,2,74,26.0,2245.0,0.0,0.0,0.7,0.0,0.0,0.0,33.0,30.9,6000000,2
